iteration, magnetisation, total energy
0, 108, -1904.0
10, -76, -4100.0
20, 4, -4352.0
30, 36, -4440.0
40, 26, -4456.0
50, -6, -4496.0
60, 128, -4520.0
70, 232, -4532.0
80, 328, -4572.0
90, 408, -4556.0
100, 634, -4568.0
110, 618, -4600.0
120, 690, -4636.0
130, 690, -4684.0
140, 816, -4700.0
150, 808, -4708.0
160, 856, -4708.0
170, 860, -4708.0
180, 914, -4736.0
190, 998, -4748.0
200, 978, -4720.0
210, 1050, -4732.0
220, 1166, -4728.0
230, 1170, -4736.0
240, 1186, -4756.0
250, 1272, -4756.0
260, 1268, -4776.0
270, 1304, -4760.0
280, 1306, -4768.0
290, 1326, -4740.0
300, 1438, -4780.0
310, 1484, -4784.0
320, 1570, -4780.0
330, 1688, -4804.0
340, 1732, -4804.0
350, 1818, -4792.0
360, 1846, -4824.0
370, 1928, -4828.0
380, 2024, -4848.0
390, 2068, -4848.0
400, 2104, -4876.0
410, 2202, -4880.0
420, 2236, -4896.0
